标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
十三中超低总价 落户神房 随时可看 ,http://hz.58.com/ershoufang/32978822573751x.shtml,210                                万（单价58889                                元/㎡）,1室1厅1卫,35.66㎡,南北,低层/共6层,中等装修,70年,1990年,普通住宅,其他,63                                万（月供6026元/月）,,,
盛都苑 4室2厅2卫 边套 ,http://hz.58.com/ershoufang/31051838198329x.shtml,160                                万（单价11594                                元/㎡）,4室2厅2卫,138㎡,,低层/共6层,中等装修,70年,,,商品房,48                                万（月供4593元/月）,,,
"天鸿美和院珍藏边套沿水系排屋门口320国道,地铁 ",http://hz.58.com/ershoufang/31189641987776x.shtml,290                                万（单价12288                                元/㎡）,4室2厅4卫,236㎡,南北,共4层,中等装修,70年,2010年,普通住宅,商品房,87                                万（月供8322元/月）,,,
主卧朝南，南北通透，诚心出售，户型正气，精装拎包 ,http://hz.58.com/ershoufang/32680089395642x.shtml,136                                万（单价25185                                元/㎡）,1室1厅1卫,54㎡,南,中层/共11层,中等装修,70年,2012年,普通住宅,商品房,40.8                                万（月供3902元/月）,,,
香樟公寓南北通透 全明户型 采光充足房东急售低总 ,http://hz.58.com/ershoufang/33200224474059x.shtml,399                                万（单价43369                                元/㎡）,3室2厅1卫,92㎡,南北,高层/共7层,中等装修,70年,2000年,普通住宅,商品房,119.7                                万（月供11450元/月）,,,
精装修，拎包入住，南北通透，户型正气，位置好，诚 ,http://hz.58.com/ershoufang/33243830392754x.shtml,78                                万（单价16956                                元/㎡）,1室1厅1卫,46㎡,南,高层/共6层,中等装修,70年,2014年,普通住宅,商品房,23.4                                万（月供2239元/月）,,,
莫衙营车站地铁旁，带院子新出好房，厨卫全明采光好 ,http://hz.58.com/ershoufang/33488272805684x.shtml,300                                万（单价48387                                元/㎡）,2室1厅1卫,62㎡,南,低层/共6层,中等装修,70年,1988年,普通住宅,商品房,90                                万（月供8611元/月）,,,
文泽地铁口文海读书 精装一室一厅 中间楼层 看房 ,http://hz.58.com/ershoufang/33297051909450x.shtml,98                                万（单价24500                                元/㎡）,1室1厅1卫,40㎡,南,高层/共7层,中等装修,70年,2002年,普通住宅,商品房,29.4                                万（月供2813元/月）,,,
推荐(特价房)美都广场85方 105万 朝南户型 ,http://hz.58.com/ershoufang/29914286374095x.shtml,105                                万（单价12352                                元/㎡）,2室1厅2卫,85㎡,南,低层/共18层,中等装修,40年,2007年,普通住宅,商住两用,31.5                                万（月供3012元/月）,,,
店长重点 ！200万远东紫竹人家紧售！！ ,http://hz.58.com/ershoufang/32260721936043x.shtml,200                                万（单价22222                                元/㎡）,2室2厅2卫,90㎡,南北,中层/共6层,中等装修,70年,2004年,普通住宅,其他,60                                万（月供5741元/月）,,,
马也美上 精装两房 东边套 南北通透 配套成熟 ,http://hz.58.com/ershoufang/33365140971963x.shtml,138                                万（单价23000                                元/㎡）,2室2厅1卫,60㎡,南,中层/共15层,中等装修,70年,2016年,公寓,商住两用,41.4                                万（月供3961元/月）,,,
临平地铁口，大三房，跃层，得房率高，房东诚心出售 ,http://hz.58.com/ershoufang/30788269030985x.shtml,280                                万（单价21212                                元/㎡）,3室2厅2卫,132㎡,南,中层/共23层,中等装修,70年,2015年,普通住宅,商品房,84                                万（月供8037元/月）,,,
文二路 保俶北路 文一街小学边 一室一厅 ,http://hz.58.com/ershoufang/30567469857209x.shtml,210                                万（单价50000                                元/㎡）,1室1厅1卫,42㎡,南北,中层/共7层,中等装修,70年,1997年,普通住宅,商品房,63                                万（月供6026元/月）,,,
急售 龙门公寓单身公寓急售 ,http://hz.58.com/ershoufang/32383865811117x.shtml,120                                万（单价28571                                元/㎡）,1室1厅1卫,42㎡,南北,中层/共18层,中等装修,70年,2005年,公寓,其他,36                                万（月供3445元/月）,,,
采荷一小二幼，两房朝南，带院子，清爽装修，房东置 ,http://hz.58.com/ershoufang/33311996162605x.shtml,242                                万（单价43214                                元/㎡）,2室1厅1卫,56㎡,南北,低层/共6层,中等装修,70年,1989年,普通住宅,商品房,72.6                                万（月供6944元/月）,,,
崇化小区。拎包入住，2房户型，赠送多，看房方便 ,http://hz.58.com/ershoufang/33464748129349x.shtml,145                                万（单价26363                                元/㎡）,2室1厅1卫,55㎡,南,低层/共6层,中等装修,70年,1995年,普通住宅,商品房,43.5                                万（月供4160元/月）,,,
西文东苑 本小区位置地段好 交通方便 房东诚心 ,http://hz.58.com/ershoufang/33310938590160x.shtml,201                                万（单价30000                                元/㎡）,2室1厅1卫,67㎡,南,低层/共17层,中等装修,70年,2012年,普通住宅,商品房,60.3                                万（月供5769元/月）,,,
流水苑 景观房 环境好 空气好 交通方便 生活配 ,http://hz.58.com/ershoufang/32525448684988x.shtml,150                                万（单价28846                                元/㎡）,2室1厅1卫,52㎡,东西,高层/共7层,中等装修,70年,1986年,普通住宅,其他,45                                万（月供4304元/月）,,,
塘栖一小区，带装修可以直接入住，房东诚心出售需要 ,http://hz.58.com/ershoufang/33406933780153x.shtml,74                                万（单价11044                                元/㎡）,2室1厅1卫,67㎡,南北,高层/共6层,中等装修,70年,2008年,普通住宅,商品房,22.2                                万（月供2122元/月）,,,
其实房子不算太好 但你肯定会很满意 这装修 这采 ,http://hz.58.com/ershoufang/33455669441198x.shtml,235                                万（单价58750                                元/㎡）,3室2厅2卫,40㎡,南,低层/共7层,中等装修,70年,1992年,普通住宅,商品房,70.5                                万（月供6745元/月）,,,
"东方福邸小区门口经营大超市,十字路口,住宅底商旺 ",http://hz.58.com/ershoufang/30190914241602x.shtml,240                                万（单价30000                                元/㎡）,1室0厅0卫,80㎡,南北,共1层,中等装修,40年,2013年,普通住宅,商品房,72                                万（月供6889元/月）,,,
看房方便，地铁口，拎包入住，美院音乐学院旁 ,http://hz.58.com/ershoufang/33396003285181x.shtml,100                                万（单价20000                                元/㎡）,2室2厅2卫,50㎡,南北,高层/共17层,中等装修,40年,2014年,公寓,商住两用,30                                万（月供2871元/月）,,,
